Team,Player_Name,Role,Country
Delhi Capitals,Axar Patel,All-Rounder,India
Delhi Capitals,KL Rahul,Wicketkeeper,India
Delhi Capitals,Karun Nair,Batsman,India
Delhi Capitals,Mitchell Starc,Bowler,Australia
Delhi Capitals,David Miller,Batsman,South Africa
Delhi Capitals,Ben Duckett,Batsman,England
Delhi Capitals,Pathum Nissanka,Batsman,Sri Lanka
Delhi Capitals,Prithvi Shaw,Batsman,India
Delhi Capitals,Abhishek Porel,Wicketkeeper,India
Delhi Capitals,Tristan Stubbs,Wicketkeeper,South Africa
Delhi Capitals,Sameer Rizvi,Batsman,India
Delhi Capitals,Ashutosh Sharma,Batsman,India
Delhi Capitals,Nitish Rana,All-Rounder,India
Delhi Capitals,T. Natarajan,Bowler,India
Delhi Capitals,Mukesh Kumar,Bowler,India
Delhi Capitals,Dushmantha Chameera,Bowler,Sri Lanka
Delhi Capitals,Lungi Ngidi,Bowler,South Africa
Delhi Capitals,Kyle Jamieson,Bowler,New Zealand
Delhi Capitals,Kuldeep Yadav,Bowler,India
Kolkata Knight Riders,Rinku Singh,Batsman,India
Kolkata Knight Riders,Angkrish Raghuvanshi,Batsman,India
Kolkata Knight Riders,Ajinkya Rahane,Batsman,India
Kolkata Knight Riders,Manish Pandey,Batsman,India
Kolkata Knight Riders,Rovman Powell,Batsman,West Indies
Kolkata Knight Riders,Sunil Narine,All-Rounder,West Indies
Kolkata Knight Riders,Ramandeep Singh,All-Rounder,India
Kolkata Knight Riders,Varun Chakravarthy,Bowler,India
Kolkata Knight Riders,Harshit Rana,Bowler,India
Kolkata Knight Riders,Vaibhav Arora,Bowler,India
Kolkata Knight Riders,Umran Malik,Bowler,India
Kolkata Knight Riders,Cameron Green,All-Rounder,Australia
Kolkata Knight Riders,Finn Allen,Wicketkeeper,New Zealand
Kolkata Knight Riders,Matheesha Pathirana,Bowler,Sri Lanka
Kolkata Knight Riders,Rahul Tripathi,Batsman,India
Kolkata Knight Riders,Tim Seifert,Wicketkeeper,New Zealand
Kolkata Knight Riders,Akash Deep,Bowler,India
Lucknow Super Giants,Rishabh Pant,Wicketkeeper,India
Lucknow Super Giants,Aiden Markram,Batsman,South Africa
Lucknow Super Giants,Josh Inglis,Wicketkeeper,Australia
Lucknow Super Giants,Nicholas Pooran,Wicketkeeper,West Indies
Lucknow Super Giants,Mitchell Marsh,All-Rounder,Australia
Lucknow Super Giants,Abdul Samad,Batsman,India
Lucknow Super Giants,Shahbaz Ahmed,All-Rounder,India
Lucknow Super Giants,Wanindu Hasaranga,All-Rounder,Sri Lanka
Lucknow Super Giants,Ayush Badoni,Batsman,India
Lucknow Super Giants,Mohammed Shami,Bowler,India
Lucknow Super Giants,Avesh Khan,Bowler,India
Lucknow Super Giants,Anrich Nortje,Bowler,South Africa
Lucknow Super Giants,Mayank Yadav,Bowler,India
Lucknow Super Giants,Mohsin Khan,Bowler,India
Lucknow Super Giants,Arjun Tendulkar,All-Rounder,India
Punjab Kings,Shreyas Iyer,Batsman,India
Punjab Kings,Nehal Wadhera,Batsman,India
Punjab Kings,Prabhsimran Singh,Wicketkeeper,India
Punjab Kings,Shashank Singh,Batsman,India
Punjab Kings,Marcus Stoinis,All-Rounder,Australia
Punjab Kings,Harpreet Brar,All-Rounder,India
Punjab Kings,Marco Jansen,All-Rounder,South Africa
Punjab Kings,Azmatullah Omarzai,All-Rounder,Afghanistan
Punjab Kings,Musheer Khan,All-Rounder,India
Punjab Kings,Cooper Connolly,All-Rounder,Australia
Punjab Kings,Ben Dwarshuis,Bowler,Australia
Punjab Kings,Arshdeep Singh,Bowler,India
Punjab Kings,Yuzvendra Chahal,Bowler,India
Punjab Kings,Vyshak Vijaykumar,Bowler,India
Punjab Kings,Lockie Ferguson,Bowler,New Zealand
Rajasthan Royals,Riyan Parag,All-Rounder,India
Rajasthan Royals,Yashasvi Jaiswal,Batsman,India
Rajasthan Royals,Ravindra Jadeja,All-Rounder,India
Rajasthan Royals,Sam Curran,All-Rounder,England
Rajasthan Royals,Shimron Hetmyer,Batsman,West Indies
Rajasthan Royals,Dhruv Jurel,Wicketkeeper,India
Rajasthan Royals,Jofra Archer,Bowler,England
Rajasthan Royals,Donovan Ferreira,Wicketkeeper,South Africa
Rajasthan Royals,Tushar Deshpande,Bowler,India
Rajasthan Royals,Kwena Maphaka,Bowler,South Africa
Rajasthan Royals,Ravi Bishnoi,Bowler,India
Rajasthan Royals,Sandeep Sharma,Bowler,India
Rajasthan Royals,Adam Milne,Bowler,New Zealand
Rajasthan Royals,Dasun Shanaka,All-Rounder,Sri Lanka
Royal Challengers Bengaluru,Bhuvneshwar Kumar,Bowler,India
Royal Challengers Bengaluru,Devdutt Padikkal,Batsman,India
Royal Challengers Bengaluru,Jacob Bethell,All-Rounder,England
Royal Challengers Bengaluru,Jitesh Sharma,Wicketkeeper,India
Royal Challengers Bengaluru,Josh Hazlewood,Bowler,Australia
Royal Challengers Bengaluru,Krunal Pandya,All-Rounder,India
Royal Challengers Bengaluru,Nuwan Thushara,Bowler,Sri Lanka
Royal Challengers Bengaluru,Phil Salt,Wicketkeeper,England
Royal Challengers Bengaluru,Rajat Patidar,Batsman,India
Royal Challengers Bengaluru,Romario Shepherd,All-Rounder,West Indies
Royal Challengers Bengaluru,Swapnil Singh,All-Rounder,India
Royal Challengers Bengaluru,Tim David,Batsman,Australia
Royal Challengers Bengaluru,Virat Kohli,Batsman,India
Royal Challengers Bengaluru,Yash Dayal,Bowler,India
Royal Challengers Bengaluru,Venkatesh Iyer,All-Rounder,India
Sunrisers Hyderabad,Pat Cummins,Bowler,Australia
Sunrisers Hyderabad,Travis Head,Batsman,Australia
Sunrisers Hyderabad,Abhishek Sharma,All-Rounder,India
Sunrisers Hyderabad,Ishan Kishan,Wicketkeeper,India
Sunrisers Hyderabad,Heinrich Klaasen,Wicketkeeper,South Africa
Sunrisers Hyderabad,Nitish Kumar Reddy,All-Rounder,India
Sunrisers Hyderabad,Kamindu Mendis,All-Rounder,Sri Lanka
Sunrisers Hyderabad,Harshal Patel,Bowler,India
Sunrisers Hyderabad,Brydon Carse,Bowler,England
Sunrisers Hyderabad,Jaydev Unadkat,Bowler,India
Sunrisers Hyderabad,Liam Livingstone,All-Rounder,England
Sunrisers Hyderabad,Shivam Mavi,Bowler,India
Chennai Super Kings,MS Dhoni,Wicketkeeper,India
Chennai Super Kings,Ruturaj Gaikwad,Batsman,India
Chennai Super Kings,Sanju Samson,Wicketkeeper,India
Chennai Super Kings,Dewald Brevis,Batsman,South Africa
Chennai Super Kings,Shivam Dube,All-Rounder,India
Chennai Super Kings,Noor Ahmad,Bowler,Afghanistan
Chennai Super Kings,Nathan Ellis,Bowler,Australia
Chennai Super Kings,Shreyas Gopal,Bowler,India
Chennai Super Kings,Khaleel Ahmed,Bowler,India
Chennai Super Kings,Mukesh Choudhary,Bowler,India
Chennai Super Kings,Jamie Overton,All-Rounder,England
Chennai Super Kings,Akeal Hosein,Bowler,West Indies
Chennai Super Kings,Matthew Short,All-Rounder,Australia
Gujarat Titans,Shubman Gill,Batsman,India
Gujarat Titans,Sai Sudharsan,Batsman,India
Gujarat Titans,Jos Buttler,Wicketkeeper,England
Gujarat Titans,Washington Sundar,All-Rounder,India
Gujarat Titans,Rahul Tewatia,All-Rounder,India
Gujarat Titans,Kagiso Rabada,Bowler,South Africa
Gujarat Titans,Mohammed Siraj,Bowler,India
Gujarat Titans,Prasidh Krishna,Bowler,India
Gujarat Titans,Ishant Sharma,Bowler,India
Gujarat Titans,Rashid Khan,Bowler,Afghanistan
Gujarat Titans,R Sai Kishore,Bowler,India
Gujarat Titans,Jason Holder,All-Rounder,West Indies
Gujarat Titans,Tom Banton,Wicketkeeper,England
Mumbai Indians,Hardik Pandya,All-Rounder,India
Mumbai Indians,Jasprit Bumrah,Bowler,India
Mumbai Indians,Mitchell Santner,All-Rounder,New Zealand
Mumbai Indians,Rohit Sharma,Batsman,India
Mumbai Indians,Ryan Rickelton,Wicketkeeper,South Africa
Mumbai Indians,Suryakumar Yadav,Batsman,India
Mumbai Indians,Tilak Varma,Batsman,India
Mumbai Indians,Trent Boult,Bowler,New Zealand
Mumbai Indians,Will Jacks,All-Rounder,England
Mumbai Indians,Shardul Thakur,All-Rounder,India
Mumbai Indians,Sherfane Rutherford,All-Rounder,West Indies
Mumbai Indians,Naman Dhir,All-Rounder,India
Mumbai Indians,Deepak Chahar,Bowler,India
Mumbai Indians,Allah Ghazanfar,Bowler,Afghanistan
Mumbai Indians,Corbin Bosch,All-Rounder,South Africa